X,Y,Действующий,Тип,Название,Город,Индекс,Индекс RU,Код страны,Страна,КТА,coord,longitude,latitude,Превышение,Принадлежность,Международный,Email,Web-сайт,Примечание
30.15763,60.0029,Действующий,Вертодром,Новый Версаль,,HD1J,ХД1Й,UU-RUSSIA,Россия,N60.00290° E030.15763°,60.00290 030.15763,30.15763,60.0029,10,АОН,,,,"Территория элитного коттеджного поселка ""Новый Версаль""."
30.26188,60.10213,Действующий,Вертодром,Осиновая Роща,,HE6J,ХЕ6Й,UU-RUSSIA,Россия,N60.10213° E030.26188°,60.10213 030.26188,30.26188,60.10213,40,ГА,,,,
29.95603,59.83417,Недействующий,Аэродром,Петергоф,,ZAC0,ЗАЦ0,UU-RUSSIA,Россия,N59.83417° E029.95603°,59.83417 029.95603,29.95603,59.83417,19,АОН,,,,Нкр.=(200)м. ВС до 12.5 тонн.
29.97782,59.86577,Действующий,Вертодром,Петергоф,,HB4V,ХБ4Ж,UU-RUSSIA,Россия,N59.86577° E029.97782°,59.86577 029.97782,29.97782,59.86577,19,АОН,,,,Маркирован.
30.31377,59.95147,Действующий,Вертодром,Петропавловская крепость,,ULLQ,УЛЛЯ,UU-RUSSIA,Россия,N59.95147° E030.31377°,59.95147 030.31377,30.31377,59.95147,10,ГА,,"bll1@mail.ru, bll@bk.ru",http://www.baltairlines.ru/,"Оператор: АК ""Балтийские Авиалинии"" (аренда на 49 лет). Использование по согласованию с владельцем."
30.2625,59.80027,Действующий,Аэродром,Пулково,Санкт-Петербург,ULLI,УЛЛИ,UU-RUSSIA,Россия,N59.80027° E030.26250°,59.80027 030.26250,30.2625,59.80027,24,ГА,Международный,,,
30.33705,59.68457,Действующий,Аэродром,Пушкин,,ULLP,УЛЛП,UU-RUSSIA,Россия,N59.68457° E030.33705°,59.68457 030.33705,30.33705,59.68457,84,МО,,aeropiter@list.ru,www.aviasalonpushkin.com,"Совместного базирования (МОРФ+МВД+Сектор ГА ЗАО ""Аэродром Пушкин"" (ФАВТ). Нкр.=(400)м, ДПРМ:596-""КД"". БПРМ:288-""K"". Военный индекс: XLLP / ЬЛЛП."
30.05113,59.85997,Действующий,Вертодром,Стрельна,,ULSR,УЛСР,UU-RUSSIA,Россия,N59.85997° E030.05113°,59.85997 030.05113,30.05113,59.85997,10,ГА,,,,
30.29982,60.02194,Действующий,Вертодром,Удельная,,HE9Q,ХЕ9Я,UU-RUSSIA,Россия,N60.02194° E030.29982°,60.02194 030.29982,30.29982,60.02194,25,АОН,,,,Оператор: ? ВС до 3500 кг. 
30.22472,59.84694,Действующий,Вертодром,Ульянка,Санкт-Петербург,HE9R,ХЕ9Р,UU-RUSSIA,Россия,N59.84694° E030.22472°,59.84694 030.22472,30.22472,59.84694,13,АОН,,9279000@mail.ru,,Оператор: ? ВС до 3500 кг.
30.48602,59.86855,Действующий,Вертодром,Уткина Заводь,Санкт-Петербург,HE59,ХЕ59,UU-RUSSIA,Россия,N59.86855° E030.48602°,59.86855 030.48602,30.48602,59.86855,10,ГА,,,,Оператор: ? ВС до 7000 кг.
29.70632,59.99398,Действующий,Вертодром,Форт Константин,,ULLF,УЛЛФ,UU-RUSSIA,Россия,N59.99398° E029.70632°,59.99398 029.70632,29.70632,59.99398,9,ГА,,fort@3park.ru,www.3park.ru,"ПП имеет 2 места приземления (""Северная"" и ""Южная""). Учтена в СЗ МТУ ВТ ФАВТ и пригодна к эксплуатации вертолетов с массой макс. 13000кг/3100кг. Поперечный уклон обоих ПП не более 1%."
30.25443,59.82935,Действующий,Вертодром,Хелидрайв,Санкт-Петербург,ULLO,УЛЛО,UU-RUSSIA,Россия,N59.82935° E030.25443°,59.82935 030.25443,30.25443,59.82935,18,АОН,,info@helidrive.com,www.helidrive.com,
30.23903,59.96403,Действующий,Вертодром,Яхт-Клуб,С.-Петербург,HCV5,ХЦЖ5,UU-RUSSIA,Россия,N59.96403° E030.23903°,59.96403 030.23903,30.23903,59.96403,5,АОН,,yachtclub.spb@gmail.com,http://spbryc.ru/,"Оператор: Центральный речной яхт-клуб. Взлет/посадка 1600 руб. Находится в зоне ограничения полетов ULR1, полеты над С.Петербургом подлежат согласованию."
30.24762,59.96689,Действующий,Вертодром,Яхт-клуб Крестовский,Санкт-Петербург,HE9P,ХЕ9П,UU-RUSSIA,Россия,N59.96689° E030.24762°,59.96689 030.24762,30.24762,59.96689,8,АОН,,artmur2001@mail.ru,,ВС до 3100 кг. ПП маркирована.
