Район;Сокращенное наименование;Наименование;Руководитель;Адрес местонахождения;Телефон;Режим работы;ИНН;ОГРН;Количество мест;Электронный адрес;Сайт;Наличие филиала;Наличие ЕМТС;Факс;Юридический адрес;Источник данных;Подведомственно;Метро;Прочее;МО
"Курортный";"Библиотека Курортного АР, филиал №4";"Централизованная библиотечная система Курортного административного района. Библиотека, филиал №4";"Журавлева Маргарита Петровна";"Санкт-Петербург, поселок Солнечное, Приморское шоссе, дом 374, литер А";"432-93-83";"12.00-18.00, кроме вс, пн";"7843001160";"1047847001762";"";"m.juravlyova@yandex.ru";"http://www.cbs-kurort.ru/departments";"Филиал";"Проект 2008";"";"189640, Санкт-Петербург, город Сестрорецк, улица Токарева, дом 7, литер А";"";"Централизованная библиотечная система Курортного административного района";"";"";"поселок Солнечное"
"Курортный";"Библиотека пос. Песочный, филиал №2";"Централизованная библиотечная система Курортного административного района. Библиотека пос. Песочный, филиал №2";"Журба Зоя Николаевна.";"Санкт-Петербург, поселок Песочный, Ленинградская улица, дом 46а, литер А";"596-84-41, 596-84-84";"11.00-19.00, сб до 18.00, вс выходной, последний рабочий день месяца - санитарный";"7843001160";"1047847001762";"";"";"http://www.cbs-kurort.ru/departments";"Филиал";"Проект 2008";"";"189640, Санкт-Петербург, город Сестрорецк, улица Токарева, дом 7, литер А";"";"Централизованная библиотечная система Курортного административного района";"";"";"поселок Песочный"
"Приморский";"Библиотека Приморского района, филиал №6";"Централизованная библиотечная система Приморского района Санкт-Петербуга, филиал №6";"Швецова Ольга Дмитриевна";"197755, Санкт-Петербург, поселок Лисий Нос, Балтийский проспект, дом 36, литер А";"434-90-53";"11.00-17.30, сб до 17.00, пт и вс выходной, последний день месяца - санитарный";"7814335640";"1067847150777";"";"fil6_cbs@mail.ru";"";"Филиал";"";"";"197348, г.Санкт-Петербург, Богатырский проспект, дом 9, литер А";"";"Централизованная библиотечная система Приморского района";"";"";"поселок Лисий Нос"
"Петроградский";"Государственная библиотека для слепых";"Санкт Петербургское Государственное учреждение культуры  "Государственная библиотека для слепых"";"Серова Татьяна Николаевна (Устинова Ольга Юрьевна)";"197198, г.Санкт-Петербург, Шамшева улица, дом 8,";"232-50-80";"Пн-Сб 11-19";"7813098027";"1037828004323";"";"serova@spb.gbs.ru,  ustinova@gbs.spb.ru";"www.gbs.spb.ru";"Основное, есть филиал";"";"232-36-51";"197198, г.Санкт-Петербург, Шамшева улица, дом 8,";"ГИС СЦ";"Комитет по культуре";"Чкаловская, Петроградская";"";"муниципальный округ №62"
"Курортный";"Библиотека пос. Александровская, филиал № 5";"Централизованная библиотечная система Курортного административного района. Библиотека пос. Александровская, филиал № 5";"Ганусинец Олег Владимирович";"189640, Санкт-Петербург, город Сестрорецк, проспект Красных Командиров, дом 25, литер А";"437-01-47";"Вторник-пятница: с 12 до 19. Выходные дни: воскресенье, понедельник";"7843001160";"1047847001762";"";"";"http://www.cbs-kurort.ru/departments";"Филиал";"";"";"189640, Санкт-Петербург, город Сестрорецк, улица Токарева, дом 7, литер А";"";"Централизованная библиотечная система Курортного административного района";"";"";"город Сестрорецк"
"Приморский";"Библиотека Приморского района, филиал №4";"Централизованная библиотечная система Приморского района Санкт-Петербуга. Библиотека, филиал №4";"Селютина Антонина Владимировна";"197229, г.Санкт-Петербург, Колодезная улица, дом 30, литер А";"498-37-83";"13.00-19.00, пт, вс - выходные";"7814335640";"1067847150777";"";"fil4_cbs@mail.ru";"";"Филиал";"";"";"197348, г.Санкт-Петербург, Богатырский проспект, дом 9, литер А";"";"Централизованная библиотечная система Приморского района";"";"";"муниципальное образование Лахта-Ольгино"
"Приморский";"Центральная  районная  детская библиотека Приморского района";"Централизованная библиотечная система Приморского района Санкт-Петербуга. Центральная  районная  детская библиотека";"Ефимова Антонина Александровна";"г.Санкт-Петербург, Комендантский проспект, дом 30, корпус 1, литер А";"348-39-61, 348-39-57, 348-39-56";"Понедельник – пятница – 11.00 – 18.00. Суббота – 11.00 – 17.00. Воскресенье – выходной день. Последняя среда месяца – санитарный день";"7814335640";"1067847150777";"60";"komendantbib@gmail.com";"";"Филиал";"";"";"197348, г.Санкт-Петербург, Богатырский проспект, дом 9, литер А";"";"Централизованная библиотечная система Приморского района";"Комендантский проспект";"";"муниципальный округ №68"
"Выборгский";"Елизаветинская библиотека, филиал №8";"Санкт-Петербургское государственное учреждение "Централизованная библиотечная система Выборгского района. Елизаветинская библиотека, филиал №8";"Давыдова Екатерина Викторовна";"194037, г.Санкт-Петербург, Елизаветинская улица, дом 8/1, литер А";"554-16-75";"С11-18, воскресенье и понедельник – выходной";"7802207443";"1037804023278";"";"";"http://www.cbs-vib.ru/libraries/";"Филиал";"";"";"194156, г.Санкт-Петербург, проспект Энгельса, дом 13/2, литер Л";"";"Централизованная библиотечная система Выборгского района";"Озерки, проспект Просвещения";"";"муниципальное образование Шувалово-Озерки"
"Петродворцовый";"Библиотека поселка Мартышкино";"Библиотека поселка Мартышкино, филиал №5. Централизованная библиотечная система Петродворцового района Санкт-Петербурга";"Левченко Светлана Тимофеевна";"189510, Санкт-Петербург, город Ломоносов, улица Жоры Антоненко, дом 6, литер А";"423-51-13";"11.3.-18.00, пн., вс.-вых";"7819303995";"1067847224807";"";"";"http://www.peterhof-biblioteka.ru/library/";"Филиал";"Проект 2008";"";"Санкт-Петербург, Петергоф г, Эрлеровский б-р, д. 18";"";"Централизованная библиотечная система Петродворцового района";"";"";"город Ломоносов"
"Петродворцовый";"Библиотека № 2 им. В.А. Гущина";"Библиотека семейного чтения. Централизованная библиотечная система Петродворцового района Санкт-Петербурга. Библиотека № 2 им. В.А. Гущина";"Татьяна Зиновьевна Шагова";"Санкт-Петербург, город Петродворец, улица Шахматова, дом 12, корпус 2, литер Б";"428-38-32, 428-67-96";"13.00-19.00. сб 12.00-18.00, вс - выходной, последний день месяца - санитарный";"7819303995";"1067847224807";"70";"stpetergof-lib@yandex.ru";"http://www.peterhof-biblioteka.ru/library/";"Филиал";"Проект 2008";"428-67-96";"Санкт-Петербург, Петергоф г, Эрлеровский б-р, д. 18";"";"Централизованная библиотечная система Петродворцового района";"";"";"город Петродворец"
"Петродворцовый";"Библиотека №4 г.Ломоносова";"Централизованная библиотечная система Петродворцового района Санкт-Петербурга. Библиотека №4 г.Ломоносова";"Левченко Светлана Тимофеевна";"189510, Санкт-Петербург, город Ломоносов, улица Победы, дом 1, литер А";"422-61-86";"12.00-19.00, пт выходной";"7819303995";"1067847224807";"";"bib-lomonosov@yandex.ru";"http://www.peterhof-biblioteka.ru/library/";"Филиал";"";"";"Санкт-Петербург, Петергоф г, Эрлеровский б-р, д. 18";"";"Централизованная библиотечная система Петродворцового района";"";"";"город Ломоносов"
"Петродворцовый";"Детская библиотека №7 г.Ломоносова";"Централизованная библиотечная система Петродворцового района Санкт-Петербурга. Детская библиотека №7 г.Ломоносова";"Левченко Светлана Тимофеевна";"189510, Санкт-Петербург, город Ломоносов, улица Победы, дом 1, литер А";"422-61-80";"11-18, вс-вых.";"7819303995";"1067847224807";"50";"crb7@pgflibs.spb.ru";"http://www.peterhof-biblioteka.ru/library/";"Филиал";"";"";"Санкт-Петербург, Петергоф г, Эрлеровский б-р, д. 18";"";"Централизованная библиотечная система Петродворцового района";"";"";"город Ломоносов"
"Петродворцовый";"Центральная районная библиотека";"Санкт-Петербургское государственное учреждение "Централизованная библиотечная система Петродворцового района Санкт-Петербурга". Центральная районная библиотека";"Левченко Светлана Тимофеевна";"198903, Санкт-Петербург, город Петродворец, Эрлеровский бульвар, дом 18, литер А";"427-18-11, 427-18-22";"13.00 - 19.00, сб 12.00 - 18.00, вс 11.00 - 17.00, выходной - пт, летом выходные - пт, вс, последний день месяца - санитарный";"7819303995";"1067847224807";"";"cbs-petergof@yandex.ru";"http://www.peterhof-biblioteka.ru/library/";"Основное, есть филиал";"";"";"Санкт-Петербург, Петергоф г, Эрлеровский б-р, д. 18";"";"Централизованная библиотечная система Петродворцового района";"";"";"город Петродворец"
"Петродворцовый";"Библиотека при санатории "Петродворец"";"Библиотека при санатории "Петродворец"";"";"Санкт-Петербург, город Петродворец, улица Аврова, дом 2, литер Д";"450-50-21";"";"7819021983";"1027808910799";"";"";"http://www.petrodvoretz.ru/";"Филиал";"";"";"Санкт-Петербург, город Петродворец, улица Аврова, дом 2";"";"ООО Санаторий "ПЕТРОДВОРЕЦ"";"";"";"город Петродворец"
"Петродворцовый";"Детская библиотека №3 поселка Стрельна";"Централизованная библиотечная система Петродворцового района Санкт-Петербурга. Детская библиотека №3 поселка Стрельна";"Левченко Светлана Тимофеевна";"198903, Санкт-Петербург, поселок Стрельна, Орловская улица, дом 2, литер А";"421-42-07";"Вторник-Суббота с 11.00-18.00. Пн., Вс.-выходные";"7819303995";"1067847224807";"";"";"http://www.peterhof-biblioteka.ru/library/";"Филиал";"Проект 2008";"";"Санкт-Петербург, Петергоф г, Эрлеровский б-р, д. 18";"";"Централизованная библиотечная система Петродворцового района";"";"";"поселок Стрельна"
"Петродворцовый";"Библиотека им. Ю. Инге";"Библиотека им. Ю. Инге, филиал №1. Централизованная библиотечная система Петродворцового района Санкт-Петербурга";"Симонова Нина Ивановна";"198903, Санкт-Петербург, поселок Стрельна, Орловская улица, дом 2, литер А";"421-44-23";"13.00-19.00, сб 12.00-18.00, пт, вс - выходные";"7819303995";"1067847224807";"90";"info@strelna-lib.ru";"http://www.peterhof-biblioteka.ru/library/";"Филиал";"Проект 2008";"";"Санкт-Петербург, Петергоф г, Эрлеровский б-р, д. 18";"";"Централизованная библиотечная система Петродворцового района";"Автово";"";"поселок Стрельна"
"Петродворцовый";"Библиотека №6 поселка Скороход";"Библиотека поселка Скороход, филиал №6. Централизованная библиотечная система Петродворцового района Санкт-Петербурга. Библиотека №6 поселка Скороход";"Левченко Светлана Тимофеевна";"Санкт-Петербург, город Петродворец, улица Володи Дубинина, дом 12а, литер А";"427-49-11";"12.00 - 18.00, вс., пн.-вых.";"7819303995";"1067847224807";"";"";"http://www.peterhof-biblioteka.ru/library/";"Филиал";"";"";"Санкт-Петербург, Петергоф г, Эрлеровский б-р, д. 18";"";"Централизованная библиотечная система Петродворцового района";"";"";"город Петродворец"
"Красносельский";"Центральная районная библиотека";"Санкт-Петербургское государственное учреждение культуры "Централизованная библиотечная система Красносельского района". Центральная районная библиотека";"Золотова Ирина Васильевна";"г.Санкт-Петербург, проспект Ветеранов, дом 155, литер А";"744-14-07, 744-14-04";"";"7807335752";"1089847228833";"384";"";"";"Основное, есть филиал";"";"";"г.Санкт-Петербург, проспект Ветеранов, дом 155, литер А";"";"Централизованная библиотечная система Красносельского района";"Проспект Ветеранов";"";"муниципальный округ №39"
"Красносельский";"Центральная районная детская библиотека "Радуга"";"Санкт-Петербургское государственное учреждение культуры "Централизованная библиотечная система Красносельского района". Центральная районная детская библиотека "Радуга"";"Золотова Ирина Васильевна";"г.Санкт-Петербург, проспект Ветеранов, дом 155, литер А";"744-14-03";"";"7807335752";"1089847228833";"";"";"";"Филиал";"";"";"г.Санкт-Петербург, проспект Ветеранов, дом 155, литер А";"";"Централизованная библиотечная система Красносельского района";"Проспект Ветеранов";"";"муниципальный округ №39"
"Красносельский";"Библиотека Красносельского района, филиал №1";"Санкт-Петербургское государственное учреждение культуры "Централизованная библиотечная система Красносельского района", филиал №1";"Золотова Ирина Васильевна";"198329, г.Санкт-Петербург, улица Чекистов, дом 26, литер А";"735-98-19";"12.00-19.00, сб 11.00-18.00, пт - выходной";"7807335752";"1089847228833";"";"";"";"Филиал";"";"";"г.Санкт-Петербург, проспект Ветеранов, дом 155, литер А";"";"Централизованная библиотечная система Красносельского района";"Проспект Ветеранов";"";"муниципальный округ №39"
"Красносельский";"Библиотека Красносельского района, филиал №3";"Санкт-Петербургское государственное учреждение культуры "Централизованная библиотечная система Красносельского района", филиал №3";"Золотова Ирина Васильевна";"198218, г.Санкт-Петербург, Володарский, проспект Ленина, дом 22, литер А";"738-93-33";"13.00-18.00, вс и пн - выходные, последний день месяца - санитарный";"7807335752";"1089847228833";"";"";"";"Филиал";"";"";"г.Санкт-Петербург, проспект Ветеранов, дом 155, литер А";"";"Централизованная библиотечная система Красносельского района";"";"";"муниципальный округ Константиновское"
"Адмиралтейский";"Научная библиотека СПб МТУ";"Научная библиотека Санкт-Петербургского Моского Технического Университета)";"Белинская Марина Евгеньевна";"190008, г.Санкт-Петербург, Лоцманская улица, дом 10-14, литер В";"714–8095, 714–2388";"11.00 - 17.00 ср и пт, 11.00 - 18.30 пн, вт, чт.";"7812043522";"1027810221548";"400";"";"http://www.smtu.ru/rus/bibl.ht";"Филиал";"";"";"190008, г.Санкт-Петербург, Лоцманская улица, дом 3, литер А";"";"Санкт-Петербургский государственный морской технический университет";"";"";"муниципальное образование Коломна"
"Адмиралтейский";"Библиотека "Никольская", филиал №7";"Санкт-Петербургское государственное учреждение культуры "Межрайонная централизованная библиотечная система им. М.Ю. Лермонтова". Библиотека "Никольская" (филиал №7)";"Серейчик Сергей Станиславович";"г.Санкт-Петербург, проспект Римского-Корсакова, дом 16/2, литер Г, (Никольская площадь, дом 2)";"714-51-38";"Понедельник – суббота – 12.00 – 19.00. Воскресенье – выходной день.";"7825132699";"1037843110832";"";"";"http://www.lplib.ru/about/putevod/7/";"Филиал";"Проект 2008";"";"191028, г.Санкт-Петербург, Литейный проспект, дом 17-19, литер А";"";"Межрайонная централизованная библиотечная система им. М.Ю. Лермонтова";"";"";"муниципальное образование Адмиралтейский округ"
"Адмиралтейский";"Библиотека им. К.А.Тимирязева, филиал № 1";"Санкт-Петербургское государственное учреждение культуры "Межрайонная централизованная библиотечная система им. М.Ю. Лермонтова".  Библиотека им. К.А.Тимирязева, филиал № 1";"Серейчик Сергей Станиславович";"198092, г.Санкт-Петербург, улица Шкапина, дом 6, литер А";"252-72-89";"С 13 до 20 часов, воскресенье - с 11 до 18 часов, выходной - суббота.";"7825132699";"1037843110832";"";"";"http://www.lplib.ru/about/putevod/1/";"Филиал";"";"";"191028, г.Санкт-Петербург, Литейный проспект, дом 17-19, литер А";"";"Межрайонная централизованная библиотечная система им. М.Ю. Лермонтова";"";"";"муниципальный округ Екатерингофский"
"Василеостровский";"Библиотека СПб ГГИ";"Библиотека СПб Горного института им. Г.В.Плеханова";"Никиташина Светлана Олеговна";"199026, г.Санкт-Петербург, 21-я линия В.О., дом 2-4/45, литер А";"328-82-78, 328-82-79";"8.30 - 17.15, пн до 16.15, выходные - сб, вс";"7801021076";"1027800507591";"";"library@spmi.ru";"http://www.spmi.ru/skeleton/1/";"Филиал";"";"";"199026, г.Санкт-Петербург, 21-я линия В.О., дом 2-4/45";"";"СПб Горный институт им. Г.В.Плеханова";"";"";"муниципальный округ №7"
"Адмиралтейский";"Библиотека "Адмиралтейская", филиал № 2";"Санкт-Петербургское государственное учреждение культуры "Межрайонная централизованная библиотечная система им. М.Ю. Лермонтова". Библиотека "Адмиралтейская", филиал № 2";"Серейчик Сергей Станиславович";"г.Санкт-Петербург, улица Циолковского, дом 7, литер А";"251-22-63";"12.00-19.00, выходные - сб, вс.";"7825132699";"1037843110832";"";"";"http://www.lplib.ru/about/putevod/2/";"Филиал";"Проект 2008";"";"191028, г.Санкт-Петербург, Литейный проспект, дом 17-19, литер А";"";"Межрайонная централизованная библиотечная система им. М.Ю. Лермонтова";"";"";"муниципальный округ Екатерингофский"
"Кировский";"Библиотека им.Лепсе, филиал №1";"Санкт-Петербургское Государственное Учреждение "Централизованная библиотечная система Кировского района"";"Степанов Петр Иванович";"г.Санкт-Петербург, улица Корнеева, дом 6, литер А";"786-41-30";"12.00-19.00, пт - выходной, сб и вс 11.00-18.00";"7805041690";"1037811014922";"";"";"";"Филиал";"Есть";"";"Санкт-Петербург, Лени Голикова ул, д. 31";"";"";"";"";"муниципальный округ №29"
"Кировский";"Библиотека Кировского района, филиал №2";"Санкт-Петербургское Государственное Учреждение "Централизованная библиотечная система Кировского района"";"Степанов Петр Иванович";"198152, г.Санкт-Петербург, Краснопутиловская улица, дом 26, литер А";"783-17-91";"13.00-19.00, вс 11.00-17.00, сб - выходной. Летом кроме сб, вс";"7805041690";"1037811014922";"";"";"";"Филиал";"Есть";"";"г.Санкт-Петербург, улица Лени Голикова, дом 31, литер А";"";"";"";"";"муниципальный округ №28"
"Кировский";"Библиотека Кировского района, филиал №3";"Санкт-Петербургское Государственное Учреждение "Централизованная библиотечная система Кировского района", филиал №3";"Степанов Петр Иванович";"198096, г.Санкт-Петербург, Кронштадтская улица, дом 20, литер А";"783-27-88";"13.00-19.00, сб 12.00-17.00, вс - выходной, последний день месяца - санитарный";"7805041690";"1037811014922";"";"";"";"Филиал";"Есть";"";"г.Санкт-Петербург, улица Лени Голикова, дом 31, литер А";"";"";"";"";"муниципальный округ №28"
"Кировский";"Библиотека Кировского района, филиал №6";"Санкт-Петербургское Государственное Учреждение "Централизованная библиотечная система Кировского района", филиал №6";"Степанов Петр Иванович";"г.Санкт-Петербург, Автовская улица, дом 32, литер А";"784-20-07";"";"7805041690";"1037811014922";"";"";"";"Филиал";"Есть";"";"г.Санкт-Петербург, улица Лени Голикова, дом 31, литер А";"";"";"";"";"муниципальный округ №28"
"Кировский";"Библиотека Кировского района филиал,  №8";"Санкт-Петербургское Государственное Учреждение "Централизованная библиотечная система Кировского района", филиал №8";"Степанов Петр Иванович";"г.Санкт-Петербург, Оборонная улица, дом 18, литер А";"786-01-54";"";"7805041690";"1037811014922";"";"";"";"Филиал";"Есть";"";"г.Санкт-Петербург, улица Лени Голикова, дом 31, литер А";"";"";"";"";"муниципальный округ №29"
"Московский";"Библиотека "Спутник", филиал №7";"Санкт-Петербургское государственное учреждение "Централизованная библиотечная система Московского административного района". Библиотека "Спутник", филиал №7";"";"196191, г.Санкт-Петербург, Бассейная улица, дом 17, литер А";"375-62-80";"";"7810219724";"1037821003967";"";"";"";"Филиал";"Проект 2008";"";"г.Санкт-Петербург, Варшавская улица, дом 37, корпус 1, литер А";"";"Централизованная библиотечная система Московского административного района";"Парк Победы";"";"муниципальное образование Новоизмайловское"
